"행정구역(시군구)별","연령별","항목","단위","2022.02 월",
"전국","64세","남자인구수[명]","명","369413",
"전국","64세","여자인구수[명]","명","376183",
"전국","65세","총인구수[명]","명","688167",
"전국","65세","남자인구수[명]","명","337818",
"전국","65세","여자인구수[명]","명","350349",
"전국","66세","총인구수[명]","명","684112",
"전국","66세","남자인구수[명]","명","330232",
"전국","66세","여자인구수[명]","명","353880",
"전국","67세","총인구수[명]","명","627243",
"전국","67세","남자인구수[명]","명","304564",
"전국","67세","여자인구수[명]","명","322679",
"전국","68세","총인구수[명]","명","510161",
"전국","68세","남자인구수[명]","명","244342",
"전국","68세","여자인구수[명]","명","265819",
"전국","69세","총인구수[명]","명","548898",
"전국","69세","남자인구수[명]","명","261845",
"전국","69세","여자인구수[명]","명","287053",
"전국","70세","총인구수[명]","명","429939",
"전국","70세","남자인구수[명]","명","204657",
"전국","70세","여자인구수[명]","명","225282",
"전국","71세","총인구수[명]","명","422398",
"전국","71세","남자인구수[명]","명","199114",
"전국","71세","여자인구수[명]","명","223284",
"전국","72세","총인구수[명]","명","430223",
"전국","72세","남자인구수[명]","명","201398",
"전국","72세","여자인구수[명]","명","228825",
"전국","73세","총인구수[명]","명","421763",
"전국","73세","남자인구수[명]","명","196864",
"전국","73세","여자인구수[명]","명","224899",
"전국","74세","총인구수[명]","명","414907",
"전국","74세","남자인구수[명]","명","190442",
"전국","74세","여자인구수[명]","명","224465",
"전국","75세","총인구수[명]","명","373414",
"전국","75세","남자인구수[명]","명","170844",
"전국","75세","여자인구수[명]","명","202570",
"전국","76세","총인구수[명]","명","282274",
"전국","76세","남자인구수[명]","명","126384",
"전국","76세","여자인구수[명]","명","155890",
"전국","77세","총인구수[명]","명","308597",
"전국","77세","남자인구수[명]","명","133369",
"전국","77세","여자인구수[명]","명","175228",
"전국","78세","총인구수[명]","명","290260",
"전국","78세","남자인구수[명]","명","120704",
"전국","78세","여자인구수[명]","명","169556",
"전국","79세","총인구수[명]","명","363105",
"전국","79세","남자인구수[명]","명","153422",
"전국","79세","여자인구수[명]","명","209683",
"전국","80세","총인구수[명]","명","307506",
"전국","80세","남자인구수[명]","명","124759",
"전국","80세","여자인구수[명]","명","182747",
"전국","81세","총인구수[명]","명","252220",
"전국","81세","남자인구수[명]","명","98686",
"전국","81세","여자인구수[명]","명","153534",
"전국","82세","총인구수[명]","명","248809",
"전국","82세","남자인구수[명]","명","94723",
"전국","82세","여자인구수[명]","명","154086",
"전국","83세","총인구수[명]","명","221105",
"전국","83세","남자인구수[명]","명","81387",
"전국","83세","여자인구수[명]","명","139718",
"전국","84세","총인구수[명]","명","193514",
"전국","84세","남자인구수[명]","명","68837",
"전국","84세","여자인구수[명]","명","124677",
"전국","85세","총인구수[명]","명","173953",
"전국","85세","남자인구수[명]","명","58788",
"전국","85세","여자인구수[명]","명","115165",
"전국","86세","총인구수[명]","명","152241",
"전국","86세","남자인구수[명]","명","49112",
"전국","86세","여자인구수[명]","명","103129",
"전국","87세","총인구수[명]","명","130309",
"전국","87세","남자인구수[명]","명","39712",
"전국","87세","여자인구수[명]","명","90597",
"전국","88세","총인구수[명]","명","102772",
"전국","88세","남자인구수[명]","명","29808",
"전국","88세","여자인구수[명]","명","72964",
"전국","89세","총인구수[명]","명","85904",
"전국","89세","남자인구수[명]","명","23301",
"전국","89세","여자인구수[명]","명","62603",
"전국","90세","총인구수[명]","명","67211",
"전국","90세","남자인구수[명]","명","16954",
"전국","90세","여자인구수[명]","명","50257",
"전국","91세","총인구수[명]","명","52271",
"전국","91세","남자인구수[명]","명","12104",
"전국","91세","여자인구수[명]","명","40167",
"전국","92세","총인구수[명]","명","43851",
"전국","92세","남자인구수[명]","명","9970",
"전국","92세","여자인구수[명]","명","33881",
"전국","93세","총인구수[명]","명","33611",
"전국","93세","남자인구수[명]","명","7188",
"전국","93세","여자인구수[명]","명","26423",
"전국","94세","총인구수[명]","명","25284",
"전국","94세","남자인구수[명]","명","5085",
"전국","94세","여자인구수[명]","명","20199",
"전국","95세","총인구수[명]","명","16964",
"전국","95세","남자인구수[명]","명","3215",
"전국","95세","여자인구수[명]","명","13749",
"전국","96세","총인구수[명]","명","11679",
"전국","96세","남자인구수[명]","명","2049",
"전국","96세","여자인구수[명]","명","9630",
"전국","97세","총인구수[명]","명","8082",
"전국","97세","남자인구수[명]","명","1608",
"전국","97세","여자인구수[명]","명","6474",
"전국","98세","총인구수[명]","명","6799",
"전국","98세","남자인구수[명]","명","1352",
"전국","98세","여자인구수[명]","명","5447",
"전국","99세","총인구수[명]","명","5278",
"전국","99세","남자인구수[명]","명","1048",
"전국","99세","여자인구수[명]","명","4230",
"전국","100세 이상","총인구수[명]","명","8323",
"전국","100세 이상","남자인구수[명]","명","1471",
"전국","100세 이상","여자인구수[명]","명","6852",
"서울특별시","계","총인구수[명]","명","9508451",
"서울특별시","계","남자인구수[명]","명","4615823",
"서울특별시","계","여자인구수[명]","명","4892628",
"서울특별시","0세","총인구수[명]","명","42726",
"서울특별시","0세","남자인구수[명]","명","22061",
"서울특별시","0세","여자인구수[명]","명","20665",
"서울특별시","1세","총인구수[명]","명","44493",
"서울특별시","1세","남자인구수[명]","명","22830",
"서울특별시","1세","여자인구수[명]","명","21663",
"서울특별시","2세","총인구수[명]","명","47755",
"서울특별시","2세","남자인구수[명]","명","24789",
"서울특별시","2세","여자인구수[명]","명","22966",
"서울특별시","3세","총인구수[명]","명","51025",
"서울특별시","3세","남자인구수[명]","명","26468",
"서울특별시","3세","여자인구수[명]","명","24557",
"서울특별시","4세","총인구수[명]","명","54730",
"서울특별시","4세","남자인구수[명]","명","27925",
"서울특별시","4세","여자인구수[명]","명","26805",
"서울특별시","5세","총인구수[명]","명","61722",
"서울특별시","5세","남자인구수[명]","명","31550",
"서울특별시","5세","여자인구수[명]","명","30172",
"서울특별시","6세","총인구수[명]","명","66956",
"서울특별시","6세","남자인구수[명]","명","34186",
"서울특별시","6세","여자인구수[명]","명","32770",
"서울특별시","7세","총인구수[명]","명","66691",
"서울특별시","7세","남자인구수[명]","명","34084",
"서울특별시","7세","여자인구수[명]","명","32607",
"서울특별시","8세","총인구수[명]","명","66449",
"서울특별시","8세","남자인구수[명]","명","34209",
"서울특별시","8세","여자인구수[명]","명","32240",
"서울특별시","9세","총인구수[명]","명","74033",
"서울특별시","9세","남자인구수[명]","명","37851",
"서울특별시","9세","여자인구수[명]","명","36182",
"서울특별시","10세","총인구수[명]","명","71822",
"서울특별시","10세","남자인구수[명]","명","36940",
"서울특별시","10세","여자인구수[명]","명","34882",
"서울특별시","11세","총인구수[명]","명","73949",
"서울특별시","11세","남자인구수[명]","명","37918",
"서울특별시","11세","여자인구수[명]","명","36031",
"서울특별시","12세","총인구수[명]","명","69246",
"서울특별시","12세","남자인구수[명]","명","35542",
"서울특별시","12세","여자인구수[명]","명","33704",
"서울특별시","13세","총인구수[명]","명","73318",
"서울특별시","13세","남자인구수[명]","명","37606",
"서울특별시","13세","여자인구수[명]","명","35712",
"서울특별시","14세","총인구수[명]","명","79443",
"서울특별시","14세","남자인구수[명]","명","41020",
"서울특별시","14세","여자인구수[명]","명","38423",
"서울특별시","15세","총인구수[명]","명","73737",
"서울특별시","15세","남자인구수[명]","명","37998",
"서울특별시","15세","여자인구수[명]","명","35739",
"서울특별시","16세","총인구수[명]","명","70462",
"서울특별시","16세","남자인구수[명]","명","36397",
"서울특별시","16세","여자인구수[명]","명","34065",
"서울특별시","17세","총인구수[명]","명","77132",
"서울특별시","17세","남자인구수[명]","명","39627",
"서울특별시","17세","여자인구수[명]","명","37505",
"서울특별시","18세","총인구수[명]","명","82775",
"서울특별시","18세","남자인구수[명]","명","42264",
"서울특별시","18세","여자인구수[명]","명","40511",
"서울특별시","19세","총인구수[명]","명","84672",
"서울특별시","19세","남자인구수[명]","명","42320",
"서울특별시","19세","여자인구수[명]","명","42352",
"서울특별시","20세","총인구수[명]","명","95777",
"서울특별시","20세","남자인구수[명]","명","46608",
"서울특별시","20세","여자인구수[명]","명","49169",
"서울특별시","21세","총인구수[명]","명","115338",
"서울특별시","21세","남자인구수[명]","명","55365",
"서울특별시","21세","여자인구수[명]","명","59973",
"서울특별시","22세","총인구수[명]","명","120036",
"서울특별시","22세","남자인구수[명]","명","57196",
"서울특별시","22세","여자인구수[명]","명","62840",
"서울특별시","23세","총인구수[명]","명","129304",
"서울특별시","23세","남자인구수[명]","명","60608",
"서울특별시","23세","여자인구수[명]","명","68696",
"서울특별시","24세","총인구수[명]","명","142063",
"서울특별시","24세","남자인구수[명]","명","65750",
"서울특별시","24세","여자인구수[명]","명","76313",
"서울특별시","25세","총인구수[명]","명","150468",
"서울특별시","25세","남자인구수[명]","명","70356",
"서울특별시","25세","여자인구수[명]","명","80112",
"서울특별시","26세","총인구수[명]","명","160924",
"서울특별시","26세","남자인구수[명]","명","76827",
"서울특별시","26세","여자인구수[명]","명","84097",
"서울특별시","27세","총인구수[명]","명","165995",
"서울특별시","27세","남자인구수[명]","명","81472",
"서울특별시","27세","여자인구수[명]","명","84523",
"서울특별시","28세","총인구수[명]","명","166746",
"서울특별시","28세","남자인구수[명]","명","82485",
"서울특별시","28세","여자인구수[명]","명","84261",
"서울특별시","29세","총인구수[명]","명","170234",
"서울특별시","29세","남자인구수[명]","명","84503",
"서울특별시","29세","여자인구수[명]","명","85731",
